RESPNUM;CCGID;RUNID;INTDATE;DAY;GATE;BAREA;STRATA;PEAK;METH;SAQ;AIRLINE;DESTINATION;FLIGHT;AIRLINE_CODE;DEST_CODE;DESTGEO;DESTMARK;ARRTIME;DEPTIME;HOWLONG;Q2PURP1;Q2PURP2;Q2PURP3;Q3GETTO1;Q3GETTO2;Q3GETTO3;Q3PARK;Q4BAGS;Q4STORE;Q4FOOD;Q4WIFI;Q5TIMESFLOWN;Q5FIRSTTIME;Q6LONGUSE;Q7ART;Q7FOOD;Q7STORE;Q7SIGN;Q7WALKWAY;Q7SCREENS;Q7INFODOWN;Q7INFOUP;Q7WIFI;Q7ROADS;Q7PARK;Q7AIRTRAIN;Q7LTPARKING;Q7RENTAL;Q7ALL;Q8-1;Q8-2;Q8-3;Q8-4;Q8-5;Q8-6;Q9Boarding;Q9AirTrain;Q9Rental;Q9Food;Q9Restroom;Q9All;Q9-1;Q9-2;Q9-3;Q10Safe;Q10-1;Q10-2;Q10-3;Q11TSAPRE;Q12PRECHECKRATE;Q12-1;Q12-2;Q12-3;Q13COUNTY;Q13GETRATE;Q14FIND ;Q14PASSTHRU;Q15PROBLEM;Q15A;Q15-1;Q15-2;Q15-3;NETPRO  ;Q17LIVE;Q18CITY;Q18COUNTY;Q18STATE;Q18ZIP;Q18COUNTRY;HOME;Q19Clear;Q20Age;Q21Gender;Q22Income;Q23FLY;Q24SJC;Q24OAK;LANG;WEIGHT
1842;1680;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;2:00 PM;18:15:00;255;2;;;2;;;;1;1;1;1;2;1;1;6;6;3;4;4;4;4;4;4;4;6;6;6;6;4;0;;;;;;4;6;6;6;4;3;0;;;3;4;;;0;;;;;18;5;4;3;2;;;;;5;3;;;;;CYPRUS;15;2;6;2;0;0;2;2;1;0,6704842
1844;1681;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;1:00 PM;18:15:00;315;2;3;;9;;;;1;2;2;2;1;2;1;6;3;4;4;4;5;6;6;2;4;6;4;6;2;4;0;;;;;;5;4;3;6;4;4;0;;;4;0;;;1;2;14;;;5;4;4;3;2;;;;;7;3;ISTANBUL;;;;TURKEY;15;2;4;1;2;1;2;2;1;0,6704842
1840;1678;552;21;2;102;G;3;3;1;1;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;3:30 PM;18:15:00;165;5;;;7;;;;3;3;3;1;1;2;3;3;6;4;4;6;4;3;3;5;6;6;6;6;6;4;0;;;;;;4;6;6;6;2;3;0;;;4;0;;;1;3;0;;;0;4;5;3;2;;;;;7;3;IZMIR;;;;TURKEY;15;1;5;1;5;2;2;2;1;0,6704842
1837;1676;552;21;2;102;G;3;3;1;1;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;2:30 PM;18:15:00;225;3;;;5;;;;1;1;1;1;2;1;0;0;4;4;4;5;4;0;0;5;0;0;0;0;0;4;0;;;;;;5;0;0;3;4;4;0;;;4;0;;;0;;;;;0;0;0;0;0;;;;;8;3;SKOPJE;;;;MACEDONIA;15;2;2;2;3;3;2;1;1;0,6704842
1833;1674;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;3:20 PM;18:15:00;175;4;;;2;;;;1;2;0;2;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BLANK;11;;;;;;5;6;6;4;5;5;1;;;3;1;;;0;;;;;0;3;3;3;1;I FLEW WITH TK A NUMBER OF TIMES AND NEVER ENCOUNTERED PROBLEMS. ODA I WAS TOLD HAT I COULDN'T USE A BACKPACK AS MY HANDBAG REPACKING;31;;;8;3;REUTLINGEN;;;;GERMANY;15;2;2;2;2;2;2;2;1;0,6704842
3010;2216;613;23;4;58;D;3;2;1;2;AMERICAN;MIAMI;556;8;37;2;4;8:00 PM;21:28:00;88;1;;;5;;;;2;0;1;2;1;2;1;3;4;3;3;3;3;6;3;6;6;6;6;6;6;4;0;;;;;;5;6;6;4;0;4;0;;;5;0;;;0;;;;;5;4;5;3;2;;;;;8;3;MIAMI;MIAMI-DADE COUNTY;FL;33146;US;12;1;4;2;4;3;2;2;1;1,0611394
1838;1677;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;3:00 PM;18:15:00;195;1;;;6;;;;1;2;1;1;1;2;1;4;3;3;2;3;4;4;4;5;6;6;6;6;6;4;0;;;;;;5;6;6;5;3;4;0;;;5;0;;;0;;;;;5;5;4;4;2;;;;;8;3;ISTANBUL;;;;TURKEY;15;2;3;1;2;2;2;2;1;0,6704842
1845;1682;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;4:00 PM;18:15:00;135;2;;;3;;;;2;2;2;1;1;0;1;3;6;6;4;4;4;6;6;4;6;6;6;6;6;4;0;;;;;;4;6;6;6;3;3;0;;;4;0;;;4;;;;;11;6;4;6;2;;;;;8;3;VANCOUVER;CLARK COUNTY;WA;98661;US;10;2;6;1;2;2;2;2;1;0,6704842
2097;1705;557;21;2;98;G;3;3;1;2;UNITED INTL;MEXICO CITY;412;31;36;4;4;8:45 PM;23:10:00;145;1;;;2;;;;2;1;2;1;4;1;4;4;3;3;4;4;4;6;6;4;4;4;6;3;6;4;0;;;;;;4;6;6;4;4;4;0;;;4;4;;;1;5;21;10;;2;3;5;5;2;;;;;9;1;DISCOVERY BAY;CONTRA COSTA COUNTY;CA;94505;US;2;2;6;2;4;2;1;1;1;1,4869248
1846;1683;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;3:50 PM;18:15:00;145;1;;;7;;;;2;2;2;2;2;2;1;3;4;3;4;3;4;3;0;2;3;2;2;2;2;4;0;;;;;;5;5;5;5;4;5;0;;;4;0;;;0;;;;;25;4;5;5;2;;;;;9;0;;;;;;99;2;4;0;2;2;2;2;1;0,6704842
